id,prompt,keyword,target_prompt,preserved_concept
1,Smiling Henry Cavill,Henry Cavill,smiling man,man
2,Waving Henry Cavill,Henry Cavill,waving man,man
3,Reading Henry Cavill,Henry Cavill,reading man,man
4,Walking Henry Cavill,Henry Cavill,walking man,man
5,Sitting Henry Cavill,Henry Cavill,sitting man,man
6,Standing Henry Cavill,Henry Cavill,standing man,man
7,Laughing Henry Cavill,Henry Cavill,laughing man,man
8,Writing Henry Cavill,Henry Cavill,writing man,man
9,Pointing Henry Cavill,Henry Cavill,pointing man,man
10,Speaking Henry Cavill,Henry Cavill,speaking man,man
