id,prompt,keyword,target_prompt
1,A photo of Henry Cavill walking with a man,Henry Cavill,A photo of a man walking with a man
2,A photo of Henry Cavill talking to a woman,Henry Cavill,A photo of a man talking to a woman
3,A photo of Henry Cavill shaking hands with a soldier,Henry Cavill,A photo of a man shaking hands with a soldier
4,A photo of Henry Cavill laughing with a student,Henry Cavill,A photo of a man laughing with a student
5,A photo of Henry Cavill hugging his wife,Henry Cavill,A photo of a man hugging his wife
6,A photo of Henry Cavill playing basketball,Henry Cavill,A photo of a man playing basketball
7,A photo of Henry Cavill sitting next to his boy,Henry Cavill,A photo of a man sitting next to his boy
8,A photo of Henry Cavill speaking with a journalist,Henry Cavill,A photo of a man speaking with a journalist
9,A photo of Henry Cavill riding a bicycle,Henry Cavill,A photo of a man riding a bicycle
10,A photo of Henry Cavill standing beside a police officer,Henry Cavill,A photo of a man standing beside a police officer
11,A photo of Henry Cavill smiling with his daughter,Henry Cavill,A photo of a man smiling with his daughter
12,A photo of Henry Cavill waving at a child,Henry Cavill,A photo of a man waving at a child
13,A photo of Henry Cavill pointing at a painting,Henry Cavill,A photo of a man pointing at a painting
14,A photo of Henry Cavill holding hands with a young girl,Henry Cavill,A photo of a man holding hands with a young girl
15,A photo of Henry Cavill jogging with his dog,Henry Cavill,A photo of a man jogging with his dog
16,A photo of Henry Cavill eating with his friend,Henry Cavill,A photo of a man eating with his friend
17,A photo of Henry Cavill holding a gift,Henry Cavill,A photo of a man holding a gift
18,A photo of Henry Cavill sitting in a car,Henry Cavill,A photo of a man sitting in a car
19,A photo of Henry Cavill signing a book,Henry Cavill,A photo of a man signing a book
20,A photo of Henry Cavill taking a selfie with his cat,Henry Cavill,A photo of a man taking a selfie with his cat
